L1Q1,L1Q2,L1Q3,L1Q4,L1Q5,L1Q6,Total Marks,Shape 1,shape 2,shape 3,shape 4,Marks(Level 2),Level 3 Question,Marks (Level 3),Marks For Time,Total,Time,Target
2,3,2,3,2,1,15,4,6,6,4,12,"2, 3, 4, 5, 6, 7, 8",15,2,44,115,2
3,3,2,3,1,2,12,4,6,6,4,12,"3, 4, 5, 7, 8",15,2,41,135,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,136,2
3,3,2,3,3,1,15,4,6,6,4,12,"3, 4, 5, 6, 7",15,2,44,110,2
3,3,2,1,2,1,15,4,6,4,4,9,"1, 4, 5, 6, 10",3,2,29,90,1
3,3,2,4,2,3,12,4,3,2,4,6,"2, 4, 5, 6, 7, 8, 9",9,2,29,100,1
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,115,2
3,3,2,3,4,1,15,4,6,6,4,12,"1, 3, 4, 5, 6, 7, 8",15,2,44,90,2
3,3,2,3,2,1,18,4,6,6,6,9,"3, 4, 5, 6",12,2,41,100,2
3,3,2,3,2,4,15,4,6,6,4,12,"3, 5, 6, 7, 8",15,2,44,120,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,150,2
3,3,2,4,1,1,12,4,6,6,4,12,"4, 5, 6, 7, 8",15,2,41,113,2
3,3,2,3,3,2,12,4,6,6,4,12,"1, 3, 4, 6, 7",9,2,35,135,1
3,3,2,1,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,90,2
3,3,2,3,2,1,18,4,5,6,4,9,"3, 4, 5, 6, 8",15,2,44,175,2
3,3,2,4,2,3,12,4,6,5,3,6,"4, 5, 6, 7, 8",15,2,35,99,1
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,108,2
3,3,2,3,2,1,18,4,6,5,4,9,"3, 4, 5, 6, 7, 8",18,2,47,99,2
3,3,2,3,4,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,47,102,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,99,2
3,3,2,3,1,4,12,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,99,2
3,3,2,3,2,1,18,4,4,6,4,9,"3, 4, 5, 6, 7, 8",18,2,47,104,2
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8, 9, 10",12,2,44,114,2
3,3,1,3,2,2,12,4,6,6,4,12,"4, 5, 6",9,2,35,143,1
3,3,1,3,3,1,12,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,41,98,2
3,3,1,3,2,3,12,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,44,113,2
3,3,4,3,2,1,15,4,6,6,4,12,"1, 2, 3, 4, 5, 6, 7, 8, 10",9,2,38,96,1
3,3,2,3,2,1,18,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,50,98,2
3,3,2,3,2,1,18,4,8,6,3,6,"3, 4, 5, 6, 7",15,2,41,93,2
3,3,1,2,2,1,12,4,6,6,4,12,"3, 4, 5, 6, 7, 8",18,2,44,96,2
3,3,4,3,4,4,9,4,5,6,4,9,"3, 4, 5, 6, 7, 8",18,2,38,96,1
3,3,3,3,2,1,15,4,6,6,4,12,"3, 4, 5, 6, 7, 8, 10",15,2,44,102,2
